aug 9/10:33:12.246 DEBUG2 : 		

StartSession()

aug 9/10:33:12.246 INFO   : Debug Log(info): Loading the I-jet driver
aug 9/10:33:12.246 DEBUG2 : 		-> ConnectToHardware()
aug 9/10:33:12.246 DEBUG2 : 		-> CreateJetTerminal()
aug 9/10:33:12.246 DEBUG2 : 		<- CreateJetTerminal()
aug 9/10:33:12.246 DEBUG2 : 		-> AcquireSigAPIPtr()
aug 9/10:33:12.246 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm\bin\jet\bin')
aug 9/10:33:12.247 DEBUG2 : 		<- AcquireSigAPIPtr()
aug 9/10:33:12.247 DEBUG2 : 		-> CreateSigProbe()
aug 9/10:33:12.248 DEBUG2 : 		  SigProbe version: 1.66
aug 9/10:33:12.248 DEBUG2 : 		<- CreateSigProbe()
aug 9/10:33:12.248 DEBUG2 : 		-> SigProbeInit()
aug 9/10:33:12.248 DEBUG2 : 		<- SigProbeInit()
aug 9/10:33:12.248 INFO   : Debug Log(info): Probe: Probe SW module ver 1.66

aug 9/10:33:12.248 INFO   : Probe: Probe SW module ver 1.66

aug 9/10:33:12.248 INFO   : Debug Log(info): Probe: Option: trace(ETM,size_limit=100%)

aug 9/10:33:12.248 INFO   : Probe: Option: trace(ETM,size_limit=100%)

aug 9/10:33:12.248 DEBUG2 : 		-> ConnectToProbe()
aug 9/10:33:12.248 DEBUG2 : 		  ISigProbe::EnumScan()
aug 9/10:33:12.250 INFO   : Debug Log(info): Probe: I-jet-Trace SW module ver 1.66

aug 9/10:33:12.250 INFO   : Probe: I-jet-Trace SW module ver 1.66

aug 9/10:33:12.251 INFO   : Debug Log(info): Probe: Found I-jet-Trace, SN=1158

aug 9/10:33:12.251 INFO   : Probe: Found I-jet-Trace, SN=1158

aug 9/10:33:12.251 DEBUG2 : 		  scanning finished: found 1 probes
aug 9/10:33:12.252 DEBUG2 : 		    connection Serial No: 1158
aug 9/10:33:12.256 DEBUG2 : 		    connection found probes: 
aug 9/10:33:12.256 INFO   : Debug Log(info): Probe: I-jet-Trace-CM detected.

aug 9/10:33:12.256 INFO   : Probe: I-jet-Trace-CM detected.

aug 9/10:33:12.284 INFO   : Debug Log(info): Probe: Opened in USB 3.0 mode

aug 9/10:33:12.284 INFO   : Probe: Opened in USB 3.0 mode

aug 9/10:33:12.286 INFO   : Debug Log(info): Probe: I-jet-Trace-CM, FW ver 7.5 (2016/06/10, USB 2015/09/02), HW Ver:D

aug 9/10:33:12.286 INFO   : Probe: I-jet-Trace-CM, FW ver 7.5 (2016/06/10, USB 2015/09/02), HW Ver:D

aug 9/10:33:12.315 INFO   : Debug Log(info): Probe: USB reading speed 384.2MB/s Data verified.

aug 9/10:33:12.315 INFO   : Probe: USB reading speed 384.2MB/s Data verified.

aug 9/10:33:12.435 INFO   : Debug Log(info): Probe: 16693 pkts/s

aug 9/10:33:12.435 INFO   : Probe: 16693 pkts/s

aug 9/10:33:12.435 INFO   : Debug Log(info): Probe: Internal probe memory is already enabled (power-save mode)

aug 9/10:33:12.435 INFO   : Probe: Internal probe memory is already enabled (power-save mode)

aug 9/10:33:12.563 INFO   : Debug Log(info): Probe: Opened connection to I-jet-Trace:1158

aug 9/10:33:12.563 INFO   : Probe: Opened connection to I-jet-Trace:1158

aug 9/10:33:12.577 INFO   : Debug Log(info): INFO: Input voltage 4633mV USB current 592mA, External current 4mA

aug 9/10:33:12.577 INFO   : INFO: Input voltage 4633mV USB current 592mA, External current 4mA

aug 9/10:33:12.577 INFO   : Debug Log(info): INFO: TrgPwr current limit set to ~600mA

aug 9/10:33:12.577 INFO   : INFO: TrgPwr current limit set to ~600mA

aug 9/10:33:12.578 INFO   : Debug Log(info): Probe: MIPI20 adapter detected

aug 9/10:33:12.578 INFO   : Probe: MIPI20 adapter detected

aug 9/10:33:12.578 INFO   : Debug Log(info): Probe: Versions: JTAG=1.92 Trace=2.06 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=1.04 CUSB3=1.41

aug 9/10:33:12.578 INFO   : Probe: Versions: JTAG=1.92 Trace=2.06 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=1.04 CUSB3=1.41

aug 9/10:33:12.578 DEBUG2 : 		<- ConnectToProbe()
aug 9/10:33:12.578 DEBUG2 : 		-> CreateSigEmus()
aug 9/10:33:12.578 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
aug 9/10:33:12.578 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
aug 9/10:33:12.578 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'ijet')
aug 9/10:33:12.578 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M4')
aug 9/10:33:12.578 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
aug 9/10:33:12.579 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
aug 9/10:33:12.579 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
aug 9/10:33:12.579 DEBUG2 : 		<- CreateSigEmus()
aug 9/10:33:12.579 DEBUG2 : 		-> CreateInterfaceComProtocol()
aug 9/10:33:12.579 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
aug 9/10:33:12.579 DEBUG2 : 		<- CreateInterfaceComProtocol()
aug 9/10:33:12.579 DEBUG2 : 		-> CollectCoreNames()
aug 9/10:33:12.579 DEBUG2 : 		<- CollectCoreNames()
aug 9/10:33:12.579 DEBUG2 : 		-> DoIceConnect()
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', '')
aug 9/10:33:12.579 DEBUG2 : 		  core 0: IsigEmu::ParamSet('@', 'FbEnable=1')
aug 9/10:33:12.579 DEBUG2 : 		Core 0: IceConnect(...)
aug 9/10:33:12.579 DEBUG2 : 		<- DoIceConnect()
aug 9/10:33:12.579 DEBUG2 : 		-> DoIceInit()
aug 9/10:33:12.579 DEBUG2 : 		Core 0: IceInit(...)
aug 9/10:33:12.581 DEBUG2 : 		ISigEmu::IceVersion(1ff)
aug 9/10:33:12.581 INFO   : Debug Log(info): Emulation layer version 5.11
aug 9/10:33:12.581 DEBUG2 : 		ISigEmu::IceStatus(0)
aug 9/10:33:12.581 DEBUG2 : 		<- DoIceInit()
aug 9/10:33:12.581 DEBUG2 : 		-> CreateCmdInterpreter()
aug 9/10:33:12.581 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
aug 9/10:33:12.581 DEBUG2 : 		<- CreateCmdInterpreter()
aug 9/10:33:12.581 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
aug 9/10:33:12.581 DEBUG2 : 		-> AcquireA2DInterface()
aug 9/10:33:12.581 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
aug 9/10:33:12.581 DEBUG2 : 		  ISigA2D::LinkAttach('SigEmu',...)
aug 9/10:33:12.582 DEBUG2 : 		  ISigA2D::LinkAttach('SigTerminalLog',...)
aug 9/10:33:12.582 DEBUG2 : 		  ISigA2D::Init('null')
aug 9/10:33:12.585 INFO   : Debug Log(info): SWD clock detected: 12.5MHz

aug 9/10:33:12.585 INFO   : SWD clock detected: 12.5MHz

aug 9/10:33:12.586 INFO   : Debug Log(info): Notification to core-connect hookup.

aug 9/10:33:12.586 INFO   : Notification to core-connect hookup.

aug 9/10:33:12.586 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
aug 9/10:33:12.586 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
aug 9/10:33:12.586 INFO   : Debug Log(info): Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

aug 9/10:33:12.586 INFO   : Connected DAP v1 on SWD. Detected DP ID=0x2ba01477.

aug 9/10:33:12.587 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe0042008 0x00')
aug 9/10:33:12.587 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xe0042004 0x00')
aug 9/10:33:12.587 DEBUG2 : 		<Call to _ExecDeviceCoreConnect completed successfully
aug 9/10:33:12.587 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
aug 9/10:33:12.605 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP-CM port 0x0 (IDR=0x2477'0011).

